"name","Empty","Bo","Po","Mo","Fo","De","Te","Ne","Le","Ge","Ke","He","Ji","Qi","Xi","Zhi","Chi","Shi","Ri","Zi","Ci","Si"
"hanyu",,"b","p","m","f","d","t","n","l","g","k","h","j","q","x","zh","ch","sh","r","z","c","s"
"ipa",,"p","pʰ","m","f","t","tʰ","n","l","k","kʰ","x","tɕ","tɕʰ","ɕ","ʈʂ","ʈʂʰ","ʂ","ʐ","ts","tsʰ","s"
"ipa_alt",,,,,,,,,,,,,,,,,,,"ɻ",,,
"tongyong",,"b","p","m","f","d","t","n","l","g","k","h","j","c","s","jh","ch","sh","r","z","c","s"
"wadegiles",,"p","p`","m","f","t","t`","n","l","k","k`","h","ch","ch`","hs","ch","ch`","sh","j","ts","ts`","s"
"zhuyin",,"ㄅ","ㄆ","ㄇ","ㄈ","ㄉ","ㄊ","ㄋ","ㄌ","ㄍ","ㄎ","ㄏ","ㄐ","ㄑ","ㄒ","ㄓ","ㄔ","ㄕ","ㄖ","ㄗ","ㄘ","ㄙ"
"palladin",,"б","п","м","ф","д","т","н","л","г","к","х","цзи","ци","си","чж","ч","ш","ж","цзы","цы","сы"
